Longitude,Latitude,Timestamp,ID
0.0000,0.0000,2010-08-08 21:44:38,PtowPIzpewhu
0.0000,0.0000,2011-03-19 16:48:35,dGOhNqNgNywF
-118.8878,39.5554,2011-08-01 22:22:40,RGTLwBQugFNU
-74.6049,39.3308,2011-11-11 21:36:54,YNBV5GZkeM2E
-101.8747,33.4269,2012-12-24 22:50:15,oqLyjjYghOMi
-71.1986,42.7006,2012-12-30 22:55:39,pbLnZzaoVN1i
-85.5078,42.9720,2013-02-09 18:23:05,wCl0STpEf65E
-85.5078,42.9720,2013-02-09 18:23:05,hvWhedskKkDj
-121.9492,37.3210,2013-03-17 18:16:27,CWcDrlFjt61R
-77.0591,38.8622,2013-05-09 05:12:01,LEW52bgt5nor
-75.1282,40.1712,2013-06-24 01:40:08,IIgNXSCYbfAy
-83.8762,39.7161,2013-08-31 19:18:28,cajtDeYSHNrL
-81.3753,25.9042,2013-10-08 20:54:13,nUoZ5ZgF1ap2
-81.3753,25.9042,2013-10-08 20:54:13,KyhT8fIwfuMG
-87.9008,41.9746,2013-12-12 22:06:40,MnOiGkw5L4Gt
-75.6862,39.8472,2013-12-23 19:38:52,HUHTKXFiRJdO
-80.6700,38.2582,2013-12-24 21:20:55,fMwCxgrZgB1f
-80.6700,38.2582,2013-12-25 15:39:37,dORwFTcRXaNW
-80.6700,38.2582,2013-12-25 15:40:19,fl0aY8zdbLgB
-80.6700,38.2582,2013-12-25 15:40:27,VqM6omDpi4BZ
-97.3331,30.1162,2014-03-27 12:54:54,6Ig4nFkwXBGI
-80.7037,24.8807,2014-03-27 19:06:59,GWd5aeDH5Bf8
-80.6995,24.8834,2014-03-27 19:07:59,enxqVNzPAOK3
-118.1499,34.7059,2014-03-29 00:30:46,So26Qosdt3Gc
-117.5879,33.5809,2014-06-25 22:53:25,3WwdxfM3vcKN
-122.4145,37.7792,2014-06-29 22:10:21,nQhrk6aO5KC7
-86.2380,39.7887,2014-07-27 20:01:22,ZH04TyBzwxp4
-86.2380,39.7887,2014-07-27 20:01:22,C2z6T766zyrl
-0.3400,51.6220,2014-08-05 19:01:51,d35hw9imdTZ4
-90.8146,30.2784,2014-11-15 21:01:30,cSQizlUdukTO
-105.9201,41.4374,2014-12-26 19:05:07,W2bebttLNOXt
-105.9201,41.4374,2014-12-26 19:05:07,cum543JW3azS
-105.9201,41.4374,2014-12-26 19:05:07,rAuYxBQCA172
-105.9201,41.4374,2014-12-26 19:05:07,EOeYMPTQP320
-116.0116,40.7207,2014-12-27 23:40:00,MfSxUGHQ0sk3
-116.0116,40.7207,2014-12-27 23:40:00,gqMqwXAdhMf5
-79.5752,37.0870,2015-01-01 02:02:16,FtoxhzIsCWiZ
-114.0786,51.0513,2015-01-25 01:51:57,d8hwkjjVCUyB
-78.9086,33.6665,2015-01-31 12:47:30,aBEUU8TbWaXc
-97.0300,32.9414,2015-02-03 01:16:03,eVLG1vbjzkIt
-77.1672,18.4338,2015-02-06 21:55:35,zhyOwxEDDkuw
-91.9900,30.1071,2015-02-19 00:20:13,PagcKyNzL3xG
-91.9900,30.1071,2015-02-19 00:20:13,lfwOyNsolOX5
-104.5487,36.7892,2015-03-11 20:58:53,jnzwadKPGvWP
-104.5487,36.7892,2015-03-11 20:58:53,AWOGoZzezXZR
-122.2642,37.8405,2015-03-12 23:16:41,FHbG1JJ4gme7
-122.2642,37.8405,2015-03-12 23:16:41,rhFgoHN9NKXa
-71.4038,42.9145,2015-03-15 19:00:43,5KvfUAoU48HZ
-71.4038,42.9145,2015-03-15 19:00:43,0yeNWcY9YWtx
-71.4038,42.9145,2015-03-15 19:00:43,A6GpdoFQrqt0
-157.7930,21.3670,2015-04-16 19:13:24,W3jdopTRkdL3
-87.9126,30.5243,2015-05-09 22:23:04,ATzrA4XgqgAb
-80.2515,27.1171,2015-05-19 21:45:06,nSO3kp6RTdT3
-84.8920,33.1925,2015-05-23 23:12:13,jaCFW5weXzzV
-76.6573,39.3118,2015-06-05 03:10:09,pImknEP9afUM
-102.5541,32.3331,2015-06-12 21:28:52,ltrsOdewZQFo
-155.9507,19.5963,2015-06-14 05:28:33,XYlrk5StPkIP
-111.8676,40.6867,2015-07-16 04:17:34,gQ3LZbDLDniu
-76.6988,39.7546,2015-07-26 20:42:28,1hEoDfc3cMrZ
-78.9738,43.0286,2015-08-05 17:05:13,KoAiRXxxgVes
-84.1106,35.0687,2015-08-31 20:45:58,VCiOusygkmYF
-84.1106,35.0687,2015-08-31 20:45:58,xulcdwxCrxfv
-84.1106,35.0687,2015-08-31 20:45:58,AzaJxGnpjkMy
-84.5051,33.5478,2015-09-07 23:06:54,jcfxitVpY4jg
-84.5051,33.5478,2015-09-07 23:06:54,VWZw5LESioq8
-82.8748,39.9737,2015-10-03 00:19:13,SvZv4ja2EJ12
-104.9615,39.7418,2015-10-10 15:01:35,i5bR6hpgiHZV
100.9061,12.8690,2015-10-19 03:40:19,paWi6D5n5yTF
-81.5599,28.3552,2015-11-06 23:27:31,agdVl0gdIMcU
-91.7215,42.0104,2015-12-24 21:46:03,y9dubI2qOWZA
-91.7215,42.0104,2015-12-24 21:46:03,aSjs6r9agobf
-76.9725,38.9199,2016-01-01 05:10:40,rQYAAyXLFLbv
-38.9691,-12.2578,2016-01-13 10:02:08,fAaa2B26gYZU
-75.5323,40.6875,2016-01-25 15:27:44,o8HboGUrhGqN
-77.4583,39.0038,2016-01-26 19:27:23,jdZqXhttEkwU
-77.4583,39.0038,2016-01-26 19:27:23,MeIJEDWSMbws
-77.4583,39.0038,2016-01-26 19:27:23,OVpxKfUZhlle
-80.0829,26.7901,2016-02-05 17:27:29,7asLzHOIyNMU
-100.6048,46.7062,2016-02-09 01:34:21,jc5HIBP1ITeW
-73.8373,40.9149,2016-02-21 15:48:46,dxdhjezfwHLd
-84.3976,33.7609,2016-02-21 21:32:59,MPLaCPLA2Qp2
-85.7540,38.2539,2016-03-01 21:04:45,qhvwLLDZo2u7
-85.7526,38.2543,2016-03-01 21:11:48,up8AVoF06TrD
-85.7526,38.2543,2016-03-01 21:11:48,fwntk1Gdwl6f
-85.7526,38.2543,2016-03-01 21:11:48,S7ShyTxrMVBu
-85.7030,38.2535,2016-03-01 21:39:45,QJABczBxeZZC
100.8729,12.9264,2016-03-12 12:58:48,ohSrkLJLd9Xo
-80.6371,35.5726,2016-03-20 23:57:50,8IzIhv6fw8us
-82.9071,32.1471,2016-04-10 16:30:18,7XW1FuNyjNIQ
-73.9293,41.7051,2016-04-17 18:51:35,gO17Ya35iQEF
-94.0293,35.4575,2016-04-20 23:32:22,e3CrBC9mp3pO
-72.8797,41.3884,2016-04-23 15:54:03,LigxfIcif0bK
-72.8797,41.3884,2016-04-23 15:54:03,061FhmjxaNwX
-115.1427,36.1699,2016-04-28 06:17:34,Z7iMOya0eVlo
-77.5079,37.7451,2016-05-12 01:16:25,Y9S15t6h94bO
-80.0531,26.7103,2016-05-22 11:33:31,dMI8O7FKzl6h
135.4816,34.5955,2016-05-27 10:10:59,InOE8cADKnX4
-119.7825,36.7330,2016-05-27 19:17:37,wOamQGXzTlJR
-111.9269,33.3283,2016-06-02 02:57:09,zyvQEHEg6741
-94.2234,36.1760,2016-06-11 15:21:09,cQYmReknbPkG
-94.2234,36.1760,2016-06-11 15:21:09,bnNuHoJdKjde
-77.9015,34.0470,2016-06-17 23:07:47,sZ78kL0zobvg
